"Sample","Gender"
"US82900153_252489110001_S01_GE2_105_Jan09","M"
"US82900153_252489110002_S01_GE2_105_Jan09","M"
"US82900153_252489110003_S01_GE2_105_Jan09","M"
"US82900153_252489110004_S01_GE2_105_Jan09","M"
"US82900153_252489110005_S01_GE2_105_Jan09","F"
"US82900153_252489110006_S01_GE2_105_Jan09","M"
"US82900153_252489110007_S01_GE2_105_Jan09","M"
"US82900153_252489110008_S01_GE2_105_Jan09","F"
"US82900153_252489110009_S01_GE2_105_Jan09","M"
"US82900153_252489110010_S01_GE2_105_Jan09","M"
"US82900153_252489110012_S01_GE2_105_Jan09","F"
"US82900153_252489110013_S01_GE2_105_Jan09","F"
"US82900153_252489110014_S01_GE2_105_Jan09","M"
"US82900153_252489110015_S01_GE2_105_Jan09","F"
"US82900153_252489110016_S01_GE2_105_Jan09","M"
"US82900153_252489110017_S01_GE2_105_Jan09","F"
"US82900153_252489110018_S01_GE2_105_Jan09","F"
"US82900153_252489110019_S01_GE2_105_Jan09","F"
"US82900153_252489110024_S01_GE2_105_Jan09","M"
"US82900153_252489110025_S01_GE2_105_Jan09","M"
"US82900153_252489110026_S01_GE2_105_Jan09","M"
"US82900153_252489110027_S01_GE2_105_Jan09","M"
"US82900153_252489110028_S01_GE2_105_Jan09","M"
"US82900153_252489110029_S01_GE2_105_Jan09","M"
"US82900153_252489110030_S01_GE2_105_Jan09","M"
"US82900153_252489110031_S01_GE2_105_Jan09","M"
"US82900153_252489110032_S01_GE2_105_Jan09","M"
"US82900153_252489110033_S01_GE2_105_Jan09","M"
"US82900153_252489110034_S01_GE2_105_Jan09","M"
"US82900153_252489110035_S01_GE2_105_Jan09","M"
"US82900153_252489110036_S01_GE2_105_Jan09","M"
"US82900153_252489110037_S01_GE2_105_Jan09","M"
"US82900153_252489110038_S01_GE2_105_Jan09","F"
"US82900153_252489110039_S01_GE2_105_Jan09","M"
"US82900153_252489110040_S01_GE2_105_Jan09","M"
"US82900153_252489110041_S01_GE2_105_Jan09","F"
"US82900153_252489110042_S01_GE2_105_Jan09","M"
"US82900153_252489110043_S01_GE2_105_Jan09","M"
"US82900153_252489110044_S01_GE2_105_Jan09","M"
"US82900153_252489110048_S01_GE2_105_Jan09","M"
"US82900153_252489110049_S01_GE2_105_Jan09","M"
"US82900153_252489110050_S01_GE2_105_Jan09","M"
"US82900153_252489110051_S01_GE2_105_Jan09","F"
"US82900153_252489110052_S01_GE2_105_Jan09","M"
"US82900153_252489110053_S01_GE2_105_Jan09","M"
"US82900153_252489110054_S01_GE2_105_Jan09","M"
"US82900153_252489110055_S01_GE2_105_Jan09","M"
"US82900153_252489110056_S01_GE2_105_Jan09","M"
"US82900153_252489110057_S01_GE2_105_Jan09","M"
"US82900153_252489110058_S01_GE2_105_Jan09","F"
"US82900153_252489110059_S01_GE2_105_Jan09","F"
"US82900153_252489110060_S01_GE2_105_Jan09","M"
"US82900153_252489110061_S01_GE2_105_Jan09","M"
"US82900153_252489110062_S01_GE2_105_Jan09","M"
"US82900153_252489110063_S01_GE2_105_Jan09","M"
"US82900153_252489110064_S01_GE2_105_Jan09","M"
