"Sample","Individual"
"US82900153_252489110001_S01_GE2_105_Jan09","RAB330621"
"US82900153_252489110002_S01_GE2_105_Jan09","RAB330621"
"US82900153_252489110003_S01_GE2_105_Jan09","ANO420520"
"US82900153_252489110004_S01_GE2_105_Jan09","ANO420520"
"US82900153_252489110005_S01_GE2_105_Jan09","GRY470526"
"US82900153_252489110006_S01_GE2_105_Jan09","MAR491126"
"US82900153_252489110007_S01_GE2_105_Jan09","DEL330821"
"US82900153_252489110008_S01_GE2_105_Jan09","BRZ470326"
"US82900153_252489110009_S01_GE2_105_Jan09","CHA571008"
"US82900153_252489110010_S01_GE2_105_Jan09","GAR410813"
"US82900153_252489110012_S01_GE2_105_Jan09","LEL450721"
"US82900153_252489110013_S01_GE2_105_Jan09","LEL450721"
"US82900153_252489110014_S01_GE2_105_Jan09","BER520430"
"US82900153_252489110015_S01_GE2_105_Jan09","BRZ470326"
"US82900153_252489110016_S01_GE2_105_Jan09","BOU291129"
"US82900153_252489110017_S01_GE2_105_Jan09","BEM291129"
"US82900153_252489110018_S01_GE2_105_Jan09","GIR220606"
"US82900153_252489110019_S01_GE2_105_Jan09","GIR220606"
"US82900153_252489110024_S01_GE2_105_Jan09","MAR491126"
"US82900153_252489110025_S01_GE2_105_Jan09","ECU520713"
"US82900153_252489110026_S01_GE2_105_Jan09","YOT471216"
"US82900153_252489110027_S01_GE2_105_Jan09","LAN510426"
"US82900153_252489110028_S01_GE2_105_Jan09","IVA360731"
"US82900153_252489110029_S01_GE2_105_Jan09","IVA360731"
"US82900153_252489110030_S01_GE2_105_Jan09","RAM530325"
"US82900153_252489110031_S01_GE2_105_Jan09","RAM530325"
"US82900153_252489110032_S01_GE2_105_Jan09","PAQ470203"
"US82900153_252489110033_S01_GE2_105_Jan09","PAQ470203"
"US82900153_252489110034_S01_GE2_105_Jan09","DEL330821"
"US82900153_252489110035_S01_GE2_105_Jan09","MAT230414"
"US82900153_252489110036_S01_GE2_105_Jan09","TAR290829"
"US82900153_252489110037_S01_GE2_105_Jan09","TAR290829"
"US82900153_252489110038_S01_GE2_105_Jan09","HOU501106"
"US82900153_252489110039_S01_GE2_105_Jan09","AZE450213"
"US82900153_252489110040_S01_GE2_105_Jan09","GOM450227"
"US82900153_252489110041_S01_GE2_105_Jan09","GUI200304"
"US82900153_252489110042_S01_GE2_105_Jan09","CAP460215"
"US82900153_252489110043_S01_GE2_105_Jan09","CAP460215"
"US82900153_252489110044_S01_GE2_105_Jan09","MAR350507"
"US82900153_252489110048_S01_GE2_105_Jan09","SAI380426"
"US82900153_252489110049_S01_GE2_105_Jan09","GAR410813"
"US82900153_252489110050_S01_GE2_105_Jan09","SAI380426"
"US82900153_252489110051_S01_GE2_105_Jan09","ARC270517"
"US82900153_252489110052_S01_GE2_105_Jan09","UST500306"
"US82900153_252489110053_S01_GE2_105_Jan09","UST500306"
"US82900153_252489110054_S01_GE2_105_Jan09","CAM520101"
"US82900153_252489110055_S01_GE2_105_Jan09","CAM520101"
"US82900153_252489110056_S01_GE2_105_Jan09","FOR410727"
"US82900153_252489110057_S01_GE2_105_Jan09","SIK471101"
"US82900153_252489110058_S01_GE2_105_Jan09","TAI460120"
"US82900153_252489110059_S01_GE2_105_Jan09","TAI460120"
"US82900153_252489110060_S01_GE2_105_Jan09","PIQ340906"
"US82900153_252489110061_S01_GE2_105_Jan09","PIQ340906"
"US82900153_252489110062_S01_GE2_105_Jan09","PER510713"
"US82900153_252489110063_S01_GE2_105_Jan09","PER510713"
"US82900153_252489110064_S01_GE2_105_Jan09","BOU480910"
"US82900153_252489110065_S01_GE2_105_Jan09","BOU480910"
"US82900153_252489110066_S01_GE2_105_Jan09","ELA540809"
"US82900153_252489110067_S01_GE2_105_Jan09","BRO521127"
"US82900153_252489110068_S01_GE2_105_Jan09","JEA320618"
"US82900153_252489110069_S01_GE2_105_Jan09","JEA320618"
"US82900153_252489110070_S01_GE2_105_Jan09","LEJ501115"
"US82900153_252489110071_S01_GE2_105_Jan09","LEJ501115"
"US82900153_252489110072_S01_GE2_105_Jan09","PAN390607"
"US82900153_252489110073_S01_GE2_105_Jan09","ARC270517"
"US82900153_252489110074_S01_GE2_105_Jan09","DAV320407"
